ID,Athena Time,Athena Raw,Athena Ptile,Athena Theta,Group
cand_1,28.23333333,5,3,-1.54,Pearson College
cand_2,30,6,10,-1.04,Pearson College
cand_3,23.7,8,26,-0.36,Pearson College
cand_4,29.51666667,17,87,1.24,Pearson College
cand_5,30,10,22,-0.52,Pearson College
cand_6,30,13,49,0.24,Pearson College
cand_7,29.61666667,7,4,-1.45,Pearson College
cand_8,30,9,28,-0.23,Pearson College
cand_9,30,6,8,-1.16,Pearson College
cand_10,29.9,16,81,1.04,Pearson College
cand_11,30,13,52,0.3037,CrowdFlower 1
cand_12,30,10,27,-0.33228,CrowdFlower 1
cand_13,18.98333333,8,13,-0.93412,CrowdFlower 1
cand_14,7.05,6,4,-1.47174,CrowdFlower 1
cand_15,16.05,8,12,-0.96492,CrowdFlower 1
cand_16,13.88333333,5,13,-0.93278,CrowdFlower 1
cand_17,24.08333333,13,49,0.23775,CrowdFlower 1
cand_18,19.85,14,60,0.54384,CrowdFlower 1
cand_19,24.66666667,10,26,-0.36573,CrowdFlower 1
cand_20,20.63333333,12,36,-0.0586,CrowdFlower 1
cand_21,16.45,7,8,-1.13116,CrowdFlower 2
cand_22,28.13333333,7,10,-1.05188,CrowdFlower 2
cand_23,27.05,9,22,-0.50423,CrowdFlower 2
cand_24,28.7,13,47,0.20257,CrowdFlower 2
cand_25,23.83333333,15,70,0.74858,CrowdFlower 2
cand_26,17.35,19,97,1.68175,CrowdFlower 2
cand_27,13.01666667,10,27,-0.33652,CrowdFlower 2
cand_28,27,7,15,-0.80972,CrowdFlower 2
cand_29,12.08333333,10,32,-0.19708,CrowdFlower 2
cand_30,25.36666667,2,1,-2.29292,CrowdFlower 2
cand_31,27.25,10,24,-0.43783,CrowdFlower 2
cand_32,27.73333333,9,16,-0.74786,CrowdFlower 2
cand_33,30,6,9,-1.07245,CrowdFlower 2
cand_34,29.38333333,12,42,0.08551,CrowdFlower 2
cand_35,25.23333333,15,61,0.55443,CrowdFlower 2
cand_36,7.566666667,6,8,-1.17766,CrowdFlower 2
cand_37,21.66666667,10,20,-0.55556,CrowdFlower 2
cand_38,30,9,26,-0.35676,CrowdFlower 2
cand_39,24.3,7,17,-0.72158,CrowdFlower 3
cand_40,0,11,48,0.21018,CrowdFlower 3
cand_41,20.61666667,10,23,-0.45241,CrowdFlower 3
cand_42,18.38333333,9,25,-0.38865,CrowdFlower 3
cand_43,30,3,2,-1.75072,CrowdFlower 3
cand_44,24.3,11,22,-0.51713,CrowdFlower 3
cand_45,14.86666667,9,18,-0.66431,CrowdFlower 3
cand_46,30,10,57,0.45626,CrowdFlower 3
cand_47,18.11666667,10,27,-0.34432,CrowdFlower 3
cand_48,29.43333333,8,14,-0.877,CrowdFlower 3
cand_49,24,12,46,0.1729,CrowdFlower 3
cand_50,20.93333333,5,7,-1.24255,CrowdFlower 3
cand_51,21,16,84,1.0923,CrowdFlower 3
cand_52,12.41666667,19,98,1.82364,CrowdFlower 3
cand_53,22,9,19,-0.65257,CrowdFlower 3
cand_54,30,13,45,0.151,CrowdFlower 3
cand_55,30,7,12,-0.9573,CrowdFlower 3
cand_56,30,13,49,0.25531,CrowdFlower 3
cand_57,29.95,9,20,-0.55848,CrowdFlower 3
cand_58,21.95,8,14,-0.84088,CrowdFlower 3
cand_59,29.21666667,6,7,-1.24078,CrowdFlower 3
cand_60,16.88333333,7,10,-1.05319,CrowdFlower 3
cand_61,29.1,13,48,0.21989,CrowdFlower 4
cand_62,22.16666667,8,10,-1.04573,CrowdFlower 4
cand_63,23,8,21,-0.52522,CrowdFlower 4
cand_64,14.03333333,2,2,-1.96483,CrowdFlower 4
cand_65,23.06666667,10,19,-0.61541,CrowdFlower 4
cand_66,29.7,5,2,-1.79762,CrowdFlower 4
cand_67,20.16666667,11,36,-0.0694,CrowdFlower 4
cand_68,16,8,17,-0.69681,CrowdFlower 4
cand_69,21.85,12,28,-0.30455,CrowdFlower 4
cand_70,30.01666667,16,83,1.07324,CrowdFlower 4
cand_71,30,17,95,1.61333,CrowdFlower 4
cand_72,30.01666667,7,14,-0.86384,CrowdFlower 4
cand_73,27.41666667,12,37,-0.03314,CrowdFlower 4
cand_74,17.08333333,16,84,1.11226,CrowdFlower 4
cand_75,30,9,22,-0.4801,CrowdFlower 4
cand_76,26.68333333,14,61,0.5551,CrowdFlower 4
cand_77,30.01666667,17,87,1.21272,CrowdFlower 4
cand_78,29.3,16,88,1.267,CrowdFlower 4
cand_79,28.65,13,49,0.25216,CrowdFlower 4
cand_80,30,9,19,-0.66397,CrowdFlower 4
cand_81,20,6,14,-0.8359,CrowdFlower 4
cand_82,30,14,55,0.41188,CrowdFlower 4
cand_83,28.95,12,42,0.10458,CrowdFlower 4
cand_84,26.41666667,12,45,0.14138,CrowdFlower 4
cand_85,16,6,7,-1.18246,CrowdFlower 4
cand_86,27.9,9,21,-0.53993,CrowdFlower 4
cand_87,30.01666667,16,64,0.6022,CrowdFlower 4
cand_88,30,9,26,-0.37038,CrowdFlower 4
cand_89,12.63333333,8,18,-0.68217,CrowdFlower 4
cand_90,28.05,10,34,-0.12982,CrowdFlower 4
cand_91,27,15,71,0.76614,CrowdFlower 4
cand_92,30,13,67,0.68545,CrowdFlower 4
cand_93,29,12,57,0.4542,CrowdFlower 4
cand_94,25,13,64,0.61255,CrowdFlower 4
cand_95,23,5,3,-1.53104,CrowdFlower 4
cand_96,8.833333333,5,4,-1.4612,CrowdFlower 4
